Name,Type,Mean index value,Index value SD,Mean index value (visible),Index value (visible) SD,Area [ha],index_name,source_folder,measurement,altitude_m,CV
POLO3duzykwadrat,Area,0.6691,0.21472,0.62017,0.20576,0.00066,MCARI2,"10 55JZ12,09_ZAG30",10,30,0.320908683
POLO3malykwadrat,Area,0.79779,0.09866,0.75926,0.08989,0.00028,MCARI2,"10 55JZ12,09_ZAG30",10,30,0.123666629
POLO4duzykwadrat,Area,0.64437,0.22324,0.61294,0.21757,0.00075,MCARI2,"10 55JZ12,09_ZAG30",10,30,0.346446917
POLO4malykwadrat,Area,0.78216,0.0945,0.75781,0.08729,0.0003,MCARI2,"10 55JZ12,09_ZAG30",10,30,0.12081927
POLO5duzykwadrat,Area,0.65883,0.21498,0.63039,0.21042,0.0007,MCARI2,"10 55JZ12,09_ZAG30",10,30,0.326305724
POLO5malykwadrat,Area,0.77869,0.08805,0.75936,0.08063,0.00025,MCARI2,"10 55JZ12,09_ZAG30",10,30,0.113074523
ENRO2duzykwadrat,Area,0.31216,0.08147,0.3142,0.07977,0.00074,NDRE,"10 55JZ12,09_ZAG30",10,30,0.260987955
ENRO2malykwadrat,Area,0.30934,0.07228,0.3101,0.07158,0.0003,NDRE,"10 55JZ12,09_ZAG30",10,30,0.233658757
ENRO3duzykwadrat,Area,0.31813,0.08069,0.31966,0.07932,0.00084,NDRE,"10 55JZ12,09_ZAG30",10,30,0.25363845
ENRO3malykwadrat,Area,0.31972,0.07223,0.32021,0.07166,0.00025,NDRE,"10 55JZ12,09_ZAG30",10,30,0.225916427
ENRO4duzykwadrat,Area,0.32824,0.08227,0.32941,0.08105,0.00083,NDRE,"10 55JZ12,09_ZAG30",10,30,0.250639776
ENRO4malykwadrat,Area,0.34899,0.07989,0.34895,0.07964,0.00025,NDRE,"10 55JZ12,09_ZAG30",10,30,0.228917734
ENRO5duzykwadrat,Area,0.33111,0.08204,0.33196,0.08118,0.00075,NDRE,"10 55JZ12,09_ZAG30",10,30,0.247772644
ENRO5malykwadrat,Area,0.33716,0.07643,0.33739,0.07615,0.00023,NDRE,"10 55JZ12,09_ZAG30",10,30,0.226687626
POLO2duzykwadrat,Area,0.27329,0.07563,0.27798,0.07256,0.00052,NDRE,"10 55JZ12,09_ZAG30",10,30,0.276738995
POLO2malykwadrat,Area,0.26132,0.065,0.26565,0.06193,0.00031,NDRE,"10 55JZ12,09_ZAG30",10,30,0.24873718
POLO3duzykwadrat,Area,0.28529,0.07945,0.28809,0.07759,0.00066,NDRE,"10 55JZ12,09_ZAG30",10,30,0.278488556
POLO3malykwadrat,Area,0.28223,0.06683,0.2835,0.06584,0.00028,NDRE,"10 55JZ12,09_ZAG30",10,30,0.236792687
POLO4duzykwadrat,Area,0.30405,0.09108,0.3075,0.08876,0.00075,NDRE,"10 55JZ12,09_ZAG30",10,30,0.299555994
POLO4malykwadrat,Area,0.29784,0.07305,0.29869,0.07234,0.0003,NDRE,"10 55JZ12,09_ZAG30",10,30,0.245265915
POLO5duzykwadrat,Area,0.3195,0.09038,0.32113,0.0884,0.0007,NDRE,"10 55JZ12,09_ZAG30",10,30,0.282879499
POLO5malykwadrat,Area,0.30922,0.0733,0.30957,0.07295,0.00025,NDRE,"10 55JZ12,09_ZAG30",10,30,0.237048056
ENRO2duzykwadrat,Area,0.86456,0.08465,0.86193,0.08443,0.00074,NDVI,"10 55JZ12,09_ZAG30",10,30,0.097911076
ENRO2malykwadrat,Area,0.8903,0.05492,0.88675,0.05417,0.0003,NDVI,"10 55JZ12,09_ZAG30",10,30,0.061687072
ENRO3duzykwadrat,Area,0.84556,0.11327,0.83979,0.11323,0.00084,NDVI,"10 55JZ12,09_ZAG30",10,30,0.13395856
ENRO3malykwadrat,Area,0.89657,0.05138,0.89032,0.04964,0.00025,NDVI,"10 55JZ12,09_ZAG30",10,30,0.057307293
ENRO4duzykwadrat,Area,0.87573,0.08041,0.86948,0.08008,0.00083,NDVI,"10 55JZ12,09_ZAG30",10,30,0.091820538
ENRO4malykwadrat,Area,0.91167,0.04079,0.90261,0.0385,0.00025,NDVI,"10 55JZ12,09_ZAG30",10,30,0.044742067
ENRO5duzykwadrat,Area,0.88342,0.08058,0.87537,0.08094,0.00075,NDVI,"10 55JZ12,09_ZAG30",10,30,0.091213692
ENRO5malykwadrat,Area,0.90972,0.03934,0.90193,0.03686,0.00023,NDVI,"10 55JZ12,09_ZAG30",10,30,0.043244075
